"LAYING.1","SITTING.1","STANDING.1","WALKING.1","WALKING_DOWNSTAIRS.1","WALKING_UPSTAIRS.1","LAYING.3","SITTING.3","STANDING.3","WALKING.3","WALKING_DOWNSTAIRS.3","WALKING_UPSTAIRS.3","LAYING.5","SITTING.5","STANDING.5","WALKING.5","WALKING_DOWNSTAIRS.5","WALKING_UPSTAIRS.5","LAYING.6","SITTING.6","STANDING.6","WALKING.6","WALKING_DOWNSTAIRS.6","WALKING_UPSTAIRS.6","LAYING.7","SITTING.7","STANDING.7","WALKING.7","WALKING_DOWNSTAIRS.7","WALKING_UPSTAIRS.7","LAYING.8","SITTING.8","STANDING.8","WALKING.8","WALKING_DOWNSTAIRS.8","WALKING_UPSTAIRS.8","LAYING.11","SITTING.11","STANDING.11","WALKING.11","WALKING_DOWNSTAIRS.11","WALKING_UPSTAIRS.11","LAYING.14","SITTING.14","STANDING.14","WALKING.14","WALKING_DOWNSTAIRS.14","WALKING_UPSTAIRS.14","LAYING.15","SITTING.15","STANDING.15","WALKING.15","WALKING_DOWNSTAIRS.15","WALKING_UPSTAIRS.15","LAYING.16","SITTING.16","STANDING.16","WALKING.16","WALKING_DOWNSTAIRS.16","WALKING_UPSTAIRS.16","LAYING.17","SITTING.17","STANDING.17","WALKING.17","WALKING_DOWNSTAIRS.17","WALKING_UPSTAIRS.17","LAYING.19","SITTING.19","STANDING.19","WALKING.19","WALKING_DOWNSTAIRS.19","WALKING_UPSTAIRS.19","LAYING.21","SITTING.21","STANDING.21","WALKING.21","WALKING_DOWNSTAIRS.21","WALKING_UPSTAIRS.21","LAYING.22","SITTING.22","STANDING.22","WALKING.22","WALKING_DOWNSTAIRS.22","WALKING_UPSTAIRS.22","LAYING.23","SITTING.23","STANDING.23","WALKING.23","WALKING_DOWNSTAIRS.23","WALKING_UPSTAIRS.23","LAYING.25","SITTING.25","STANDING.25","WALKING.25","WALKING_DOWNSTAIRS.25","WALKING_UPSTAIRS.25","LAYING.26","SITTING.26","STANDING.26","WALKING.26","WALKING_DOWNSTAIRS.26","WALKING_UPSTAIRS.26","LAYING.27","SITTING.27","STANDING.27","WALKING.27","WALKING_DOWNSTAIRS.27","WALKING_UPSTAIRS.27","LAYING.28","SITTING.28","STANDING.28","WALKING.28","WALKING_DOWNSTAIRS.28","WALKING_UPSTAIRS.28","LAYING.29","SITTING.29","STANDING.29","WALKING.29","WALKING_DOWNSTAIRS.29","WALKING_UPSTAIRS.29","LAYING.30","SITTING.30","STANDING.30","WALKING.30","WALKING_DOWNSTAIRS.30","WALKING_UPSTAIRS.30","LAYING.2","SITTING.2","STANDING.2","WALKING.2","WALKING_DOWNSTAIRS.2","WALKING_UPSTAIRS.2","LAYING.4","SITTING.4","STANDING.4","WALKING.4","WALKING_DOWNSTAIRS.4","WALKING_UPSTAIRS.4","LAYING.9","SITTING.9","STANDING.9","WALKING.9","WALKING_DOWNSTAIRS.9","WALKING_UPSTAIRS.9","LAYING.10","SITTING.10","STANDING.10","WALKING.10","WALKING_DOWNSTAIRS.10","WALKING_UPSTAIRS.10","LAYING.12","SITTING.12","STANDING.12","WALKING.12","WALKING_DOWNSTAIRS.12","WALKING_UPSTAIRS.12","LAYING.13","SITTING.13","STANDING.13","WALKING.13","WALKING_DOWNSTAIRS.13","WALKING_UPSTAIRS.13","LAYING.18","SITTING.18","STANDING.18","WALKING.18","WALKING_DOWNSTAIRS.18","WALKING_UPSTAIRS.18","LAYING.20","SITTING.20","STANDING.20","WALKING.20","WALKING_DOWNSTAIRS.20","WALKING_UPSTAIRS.20","LAYING.24","SITTING.24","STANDING.24","WALKING.24","WALKING_DOWNSTAIRS.24","WALKING_UPSTAIRS.24"
"tBodyGyro-iqr()-Y",NA,NA,-0.508497036147262,NA,NA,NA,NA,NA,-0.796150937214076,NA,NA,NA,NA,NA,-0.743353220364238,NA,NA,NA,NA,NA,-0.695455489364923,NA,NA,NA,NA,NA,-0.737921943538961,NA,NA,NA,NA,NA,-0.618320981649466,NA,NA,NA,NA,-0.707790908649682,-0.992318575,NA,NA,NA,NA,-0.484881097313808,NA,NA,NA,NA,NA,-0.729006572161585,NA,NA,NA,NA,NA,-0.829339512322404,NA,NA,NA,NA,NA,-0.792940362255435,NA,NA,NA,NA,-0.599727956695035,-0.976481856025641,NA,NA,NA,NA,-0.799272175171569,NA,NA,NA,NA,NA,-0.801046788286604,NA,NA,NA,NA,NA,-0.609255340911282,NA,NA,NA,NA,NA,-0.751003093349633,NA,NA,NA,NA,NA,-0.901630253947368,NA,NA,-0.779538776,NA,NA,NA,NA,NA,-0.839491010904255,NA,NA,NA,NA,NA,-0.775301480455497,NA,NA,NA,NA,NA,-0.632610542109302,NA,NA,NA,NA,NA,-0.559752273561526,-0.085020692,NA,NA,NA,NA,NA,-0.756139001622517,NA,NA,NA,NA,NA,-0.783446846403785,NA,NA,NA,NA,NA,-0.715870831180556,NA,NA,NA,NA,NA,-0.579322066243197,NA,NA,NA,NA,NA,-0.824146340594059,-0.680043722457627,NA,NA,NA,NA,NA,-0.701376594269113,NA,NA,NA,NA,NA,-0.791935881620879,NA,NA,NA,NA,NA,-0.617245577148023,NA,NA,NA,NA,NA,-0.805214555538058
"tBodyGyro-iqr()-Z",NA,NA,-0.685635074121037,NA,NA,NA,NA,NA,-0.774938074633431,NA,NA,NA,NA,NA,-0.727866971125828,NA,NA,NA,NA,NA,-0.723100223049231,NA,NA,NA,NA,NA,-0.732386499512987,NA,NA,NA,NA,NA,-0.558171564813879,NA,NA,NA,NA,-0.805010392038217,-0.967518265,NA,NA,NA,NA,-0.469218334255728,NA,NA,NA,NA,NA,-0.765084527286585,NA,NA,NA,NA,NA,-0.770474186926229,NA,NA,NA,NA,NA,-0.749972677970109,NA,NA,NA,NA,-0.63864108554078,-0.977915229615385,NA,NA,NA,NA,-0.742748120067647,NA,NA,NA,NA,NA,-0.705987522168224,NA,NA,NA,NA,NA,-0.653797146344086,NA,NA,NA,NA,NA,-0.79858982200489,NA,NA,NA,NA,NA,-0.834783556710526,NA,NA,-0.692595932875,NA,NA,NA,NA,NA,-0.724592495769681,NA,NA,NA,NA,NA,-0.711212722674346,NA,NA,NA,NA,NA,-0.760668520261628,NA,NA,NA,NA,NA,-0.717657043657895,-0.45128044,NA,NA,NA,NA,NA,-0.694075068483444,NA,NA,NA,NA,NA,-0.793887314100946,NA,NA,NA,NA,NA,-0.645178157836806,NA,NA,NA,NA,NA,-0.706201922538435,NA,NA,NA,NA,NA,-0.702371748024752,-0.734301210423729,NA,NA,NA,NA,NA,-0.718039124801223,NA,NA,NA,NA,NA,-0.798692749010989,NA,NA,NA,NA,NA,-0.65891257587322,NA,NA,NA,NA,NA,-0.767129538188976
"tBodyGyro-entropy()-X",NA,NA,-0.0617493807841499,NA,NA,NA,NA,NA,-0.0816490324851026,NA,NA,NA,NA,NA,-0.0821406146549007,NA,NA,NA,NA,NA,-0.0906246279975385,NA,NA,NA,NA,NA,-0.0688368169994156,NA,NA,NA,NA,NA,-0.150662178633075,NA,NA,NA,NA,-0.223974402556688,-0.92938904,NA,NA,NA,NA,-0.0212492027377709,NA,NA,NA,NA,NA,-0.164916707583232,NA,NA,NA,NA,NA,-0.159580391228634,NA,NA,NA,NA,NA,-0.212104029359728,NA,NA,NA,NA,-0.167307608494149,-0.367030627502564,NA,NA,NA,NA,-0.182286414261029,NA,NA,NA,NA,NA,-0.145539882570903,NA,NA,NA,NA,NA,-0.128548908147258,NA,NA,NA,NA,NA,-0.0923375141542298,NA,NA,NA,NA,NA,-0.324229083419079,NA,NA,-0.165979102290629,NA,NA,NA,NA,NA,-0.279924905694362,NA,NA,NA,NA,NA,-0.131792897832199,NA,NA,NA,NA,NA,-0.213607182680814,NA,NA,NA,NA,NA,-0.108933558758158,-0.208679176666667,NA,NA,NA,NA,NA,-0.186421686582715,NA,NA,NA,NA,NA,-0.0603777076264984,NA,NA,NA,NA,NA,-0.0601193122892361,NA,NA,NA,NA,NA,-0.150181968119048,NA,NA,NA,NA,NA,-0.175595335138614,-0.108709075060169,NA,NA,NA,NA,NA,-0.166183119099388,NA,NA,NA,NA,NA,-0.215042665871758,NA,NA,NA,NA,NA,-0.133583014635593,NA,NA,NA,NA,NA,-0.126017055538058
"tBodyGyro-entropy()-Y",NA,NA,-0.163577570574928,NA,NA,NA,NA,NA,-0.0568681626039589,NA,NA,NA,NA,NA,-0.00650449528377484,NA,NA,NA,NA,NA,-0.00233479294670769,NA,NA,NA,NA,NA,0.0361744327965909,NA,NA,NA,NA,NA,-0.151024619088185,NA,NA,NA,NA,-0.129446059933217,-0.93084196,NA,NA,NA,NA,-0.18907317929257,NA,NA,NA,NA,NA,-0.110505031652744,NA,NA,NA,NA,NA,-0.146118137316475,NA,NA,NA,NA,NA,-0.167423694106522,NA,NA,NA,NA,-0.101070575098191,-0.304897600371795,NA,NA,NA,NA,-0.108218226361642,NA,NA,NA,NA,NA,-0.126549580870498,NA,NA,NA,NA,NA,-0.0597601404005376,NA,NA,NA,NA,NA,-0.0828219924630807,NA,NA,NA,NA,NA,-0.218601645730263,NA,NA,-0.110289180016667,NA,NA,NA,NA,NA,-0.123205119669415,NA,NA,NA,NA,NA,-0.0232713147958194,NA,NA,NA,NA,NA,-0.223439180873256,NA,NA,NA,NA,NA,-0.154265941898237,-0.355515956666667,NA,NA,NA,NA,NA,-0.108041003458609,NA,NA,NA,NA,NA,-0.0231313668085804,NA,NA,NA,NA,NA,0.001874223190625,NA,NA,NA,NA,NA,-0.15118935502449,NA,NA,NA,NA,NA,-0.0883876435792079,0.0490239737550847,NA,NA,NA,NA,NA,-0.0551617172134557,NA,NA,NA,NA,NA,-0.117175413126923,NA,NA,NA,NA,NA,-0.0820582183822034,NA,NA,NA,NA,NA,-0.0702569080845932
"tBodyGyro-entropy()-Z",NA,NA,0.0386521646489914,NA,NA,NA,NA,NA,-0.00183098042404692,NA,NA,NA,NA,NA,-0.00257277666745033,NA,NA,NA,NA,NA,-0.0103275901519385,NA,NA,NA,NA,NA,-0.0311925065746753,NA,NA,NA,NA,NA,-0.0977776462313167,NA,NA,NA,NA,-0.0765002153944586,-0.265186875,NA,NA,NA,NA,-0.044051102298452,NA,NA,NA,NA,NA,-0.0832200822006098,NA,NA,NA,NA,NA,-0.20972221606429,NA,NA,NA,NA,NA,-0.16079733022663,NA,NA,NA,NA,-0.0159458936723404,-0.374533114525641,NA,NA,NA,NA,-0.148189229973775,NA,NA,NA,NA,NA,-0.0984002237872274,NA,NA,NA,NA,NA,-0.105250661397581,NA,NA,NA,NA,NA,-0.015779205397555,NA,NA,NA,NA,NA,-0.220130968103947,NA,NA,-0.0249147530379167,NA,NA,NA,NA,NA,-0.132561249242021,NA,NA,NA,NA,NA,-0.0807411389764398,NA,NA,NA,NA,NA,-0.140573828752907,NA,NA,NA,NA,NA,0.0319426218547368,0.503318146666667,NA,NA,NA,NA,NA,-0.0156624417396358,NA,NA,NA,NA,NA,0.0250794828069401,NA,NA,NA,NA,NA,0.00989288538715278,NA,NA,NA,NA,NA,-0.0582795311139456,NA,NA,NA,NA,NA,-0.0432656628672772,0.0729882380423729,NA,NA,NA,NA,NA,-0.0519230315185933,NA,NA,NA,NA,NA,-0.0849647284945055,NA,NA,NA,NA,NA,-0.0285169421584746,NA,NA,NA,NA,NA,-0.0672624902782152
"tBodyGyro-arCoeff()-X,1",NA,NA,-0.239287952908156,NA,NA,NA,NA,NA,-0.322059367572141,NA,NA,NA,NA,NA,-0.278389173869205,NA,NA,NA,NA,NA,-0.222442396276615,NA,NA,NA,NA,NA,-0.275826702270942,NA,NA,NA,NA,NA,-0.214241796348043,NA,NA,NA,NA,-0.325803487977325,0.371371615,NA,NA,NA,NA,-0.279216249316718,NA,NA,NA,NA,NA,-0.263333825159146,NA,NA,NA,NA,NA,-0.221116244826749,NA,NA,NA,NA,NA,-0.19469646180538,NA,NA,NA,NA,-0.142010415702234,-0.130067955791026,NA,NA,NA,NA,-0.158037614299265,NA,NA,NA,NA,NA,-0.183536587274143,NA,NA,NA,NA,NA,-0.0858154701923387,NA,NA,NA,NA,NA,-0.388890117686797,NA,NA,NA,NA,NA,-0.0531787204342105,NA,NA,-0.121890123345208,NA,NA,NA,NA,NA,-0.109330988571809,NA,NA,NA,NA,NA,-0.274481736340576,NA,NA,NA,NA,NA,-0.0906895355005814,NA,NA,NA,NA,NA,-0.293562837063158,-0.273589156666667,NA,NA,NA,NA,NA,-0.145833390415066,NA,NA,NA,NA,NA,-0.250533185470631,NA,NA,NA,NA,NA,-0.354182604374306,NA,NA,NA,NA,NA,-0.205238799806633,NA,NA,NA,NA,NA,-0.204838994238119,-0.28668602372322,NA,NA,NA,NA,NA,-0.20002800430948,NA,NA,NA,NA,NA,-0.236326833264011,NA,NA,NA,NA,NA,-0.249158768275706,NA,NA,NA,NA,NA,-0.204978938760105
"tBodyGyro-arCoeff()-X,2",NA,NA,0.151028490402882,NA,NA,NA,NA,NA,0.256322232978944,NA,NA,NA,NA,NA,0.240661549745099,NA,NA,NA,NA,NA,0.211078844116083,NA,NA,NA,NA,NA,0.221172362560065,NA,NA,NA,NA,NA,0.0879067560223488,NA,NA,NA,NA,0.231712100506975,-0.478618139,NA,NA,NA,NA,0.124049022132198,NA,NA,NA,NA,NA,0.139674295885412,NA,NA,NA,NA,NA,0.119441461244798,NA,NA,NA,NA,NA,0.140043161353804,NA,NA,NA,NA,0.113847543871277,0.0290957393355128,NA,NA,NA,NA,0.0971047489151887,NA,NA,NA,NA,NA,0.0834207960361371,NA,NA,NA,NA,NA,0.0831275094036936,NA,NA,NA,NA,NA,0.244281521206112,NA,NA,NA,NA,NA,0.0219727047283289,NA,NA,0.08121341002875,NA,NA,NA,NA,NA,0.0447118214592021,NA,NA,NA,NA,NA,0.172393891894188,NA,NA,NA,NA,NA,0.0638750104706105,NA,NA,NA,NA,NA,0.145398756444474,0.11719791,NA,NA,NA,NA,NA,0.138831918003013,NA,NA,NA,NA,NA,0.209838871961199,NA,NA,NA,NA,NA,0.233021333749271,NA,NA,NA,NA,NA,0.130761510431633,NA,NA,NA,NA,NA,0.117724915307871,0.245869609686441,NA,NA,NA,NA,NA,0.143053431863878,NA,NA,NA,NA,NA,0.151708782991648,NA,NA,NA,NA,NA,0.130620959809887,NA,NA,NA,NA,NA,0.170615267317638
"tBodyGyro-arCoeff()-X,3",NA,NA,0.225159308175187,NA,NA,NA,NA,NA,0.0430032129928534,NA,NA,NA,NA,NA,0.0626423827377483,NA,NA,NA,NA,NA,0.0740934437987692,NA,NA,NA,NA,NA,-0.0282000905396104,NA,NA,NA,NA,NA,0.253222106265267,NA,NA,NA,NA,0.0947575551410191,0.34408396,NA,NA,NA,NA,0.185899406961858,NA,NA,NA,NA,NA,0.215225664126829,NA,NA,NA,NA,NA,0.178127527563934,NA,NA,NA,NA,NA,0.11369107042413,NA,NA,NA,NA,0.132244799691028,0.247482141064103,NA,NA,NA,NA,0.129871479233333,NA,NA,NA,NA,NA,0.144842351728037,NA,NA,NA,NA,NA,0.0635844320262177,NA,NA,NA,NA,NA,0.140684895083399,NA,NA,NA,NA,NA,0.199393333456579,NA,NA,0.166263879495542,NA,NA,NA,NA,NA,0.198559466264231,NA,NA,NA,NA,NA,0.130851834719084,NA,NA,NA,NA,NA,0.175164671322442,NA,NA,NA,NA,NA,0.166938292522105,0.196709673666667,NA,NA,NA,NA,NA,0.0473401127022517,NA,NA,NA,NA,NA,-0.0200368510473502,NA,NA,NA,NA,NA,0.10166382181875,NA,NA,NA,NA,NA,0.186142380926531,NA,NA,NA,NA,NA,0.137584157751485,0.0430423578932203,NA,NA,NA,NA,NA,0.0818650035730887,NA,NA,NA,NA,NA,0.147082806487574,NA,NA,NA,NA,NA,0.173970328922345,NA,NA,NA,NA,NA,0.0889505756434908
"tBodyGyro-arCoeff()-X,4",NA,NA,-0.212147773321902,NA,NA,NA,NA,NA,-0.0899978537661994,NA,NA,NA,NA,NA,-0.143216857809272,NA,NA,NA,NA,NA,-0.096681361708,NA,NA,NA,NA,NA,0.0899286710560714,NA,NA,NA,NA,NA,-0.197097303828826,NA,NA,NA,NA,-0.0912596320365287,0.2377285365,NA,NA,NA,NA,-0.0598558634343653,NA,NA,NA,NA,NA,-0.163090341885945,NA,NA,NA,NA,NA,-0.12092224927377,NA,NA,NA,NA,NA,-0.136833295308533,NA,NA,NA,NA,-0.0695901358375886,-0.0670164048371795,NA,NA,NA,NA,-0.0240628008422304,NA,NA,NA,NA,NA,0.00298917226791277,NA,NA,NA,NA,NA,0.00421889583629032,NA,NA,NA,NA,NA,-0.130088124549829,NA,NA,NA,NA,NA,-0.0663501728032895,NA,NA,-0.0870297334545833,NA,NA,NA,NA,NA,-0.0858381855109574,NA,NA,NA,NA,NA,-0.0641488709469895,NA,NA,NA,NA,NA,-0.0596869086426163,NA,NA,NA,NA,NA,-0.0821160225503947,-0.154620494666667,NA,NA,NA,NA,NA,-0.012697556814404,NA,NA,NA,NA,NA,0.0260027309732177,NA,NA,NA,NA,NA,-0.113014620251389,NA,NA,NA,NA,NA,-0.15062479572551,NA,NA,NA,NA,NA,-0.0712526928752475,-0.0688283400255932,NA,NA,NA,NA,NA,-0.0488987855647095,NA,NA,NA,NA,NA,-0.093147357542033,NA,NA,NA,NA,NA,-0.0666944852833333,NA,NA,NA,NA,NA,-0.0814792050099738
"tBodyGyro-arCoeff()-Y,1",NA,NA,-0.167613020676398,NA,NA,NA,NA,NA,-0.217513481108211,NA,NA,NA,NA,NA,-0.209183429780298,NA,NA,NA,NA,NA,-0.253303453749846,NA,NA,NA,NA,NA,-0.161913761023539,NA,NA,NA,NA,NA,-0.173416725194662,NA,NA,NA,NA,-0.194431823744268,0.4953229575,NA,NA,NA,NA,-0.38195704415582,NA,NA,NA,NA,NA,-0.230339051899695,NA,NA,NA,NA,NA,-0.170511691949536,NA,NA,NA,NA,NA,-0.167657125610598,NA,NA,NA,NA,-0.188746930733227,-0.16023066960641,NA,NA,NA,NA,-0.183522694335539,NA,NA,NA,NA,NA,-0.159357195682897,NA,NA,NA,NA,NA,-0.144896130665054,NA,NA,NA,NA,NA,-0.30781957211533,NA,NA,NA,NA,NA,-0.146361680021711,NA,NA,-0.159877574969583,NA,NA,NA,NA,NA,-0.0791040569051622,NA,NA,NA,NA,NA,-0.270444065551571,NA,NA,NA,NA,NA,-0.160559344587267,NA,NA,NA,NA,NA,-0.293015794746842,-0.696347283333333,NA,NA,NA,NA,NA,-0.128368689752119,NA,NA,NA,NA,NA,-0.26711842179653,NA,NA,NA,NA,NA,-0.307558545283611,NA,NA,NA,NA,NA,-0.154584829989864,NA,NA,NA,NA,NA,-0.15576450951055,-0.228556492290678,NA,NA,NA,NA,NA,-0.137210998056269,NA,NA,NA,NA,NA,-0.22048368303489,NA,NA,NA,NA,NA,-0.281170139540395,NA,NA,NA,NA,NA,-0.197162449728845
"tBodyGyro-arCoeff()-Y,2",NA,NA,0.167009331654755,NA,NA,NA,NA,NA,0.176876553284018,NA,NA,NA,NA,NA,0.231835931186424,NA,NA,NA,NA,NA,0.270749844002769,NA,NA,NA,NA,NA,0.186461411040032,NA,NA,NA,NA,NA,0.141972148927402,NA,NA,NA,NA,0.134454042319236,-0.41268337,NA,NA,NA,NA,0.254483694202786,NA,NA,NA,NA,NA,0.1608216122,NA,NA,NA,NA,NA,0.118727353179344,NA,NA,NA,NA,NA,0.147430111887201,NA,NA,NA,NA,0.167123607218085,0.055835761925641,NA,NA,NA,NA,0.143159023502157,NA,NA,NA,NA,NA,0.10002973146324,NA,NA,NA,NA,NA,0.187613089055062,NA,NA,NA,NA,NA,0.215567568154731,NA,NA,NA,NA,NA,0.117109947556974,NA,NA,0.162556343614583,NA,NA,NA,NA,NA,0.0774402801765346,NA,NA,NA,NA,NA,0.19761798643656,NA,NA,NA,NA,NA,0.0713004682453198,NA,NA,NA,NA,NA,0.194993928874658,0.641760723333333,NA,NA,NA,NA,NA,0.139369281710066,NA,NA,NA,NA,NA,0.193641408963407,NA,NA,NA,NA,NA,0.242738490527431,NA,NA,NA,NA,NA,0.135243608700092,NA,NA,NA,NA,NA,0.143094664189406,0.249013865832203,NA,NA,NA,NA,NA,0.163694706039113,NA,NA,NA,NA,NA,0.15692301384533,NA,NA,NA,NA,NA,0.22268114662822,NA,NA,NA,NA,NA,0.202164926605039
"tBodyGyro-arCoeff()-Y,3",NA,NA,-0.0766679972272046,NA,NA,NA,NA,NA,-0.0383312254793842,NA,NA,NA,NA,NA,-0.105814426639404,NA,NA,NA,NA,NA,-0.0708982910343385,NA,NA,NA,NA,NA,-0.0744667315755195,NA,NA,NA,NA,NA,-0.0516861381391459,NA,NA,NA,NA,0.014824886855414,0.24923246,NA,NA,NA,NA,-0.00837780785619195,NA,NA,NA,NA,NA,-0.0342801762140854,NA,NA,NA,NA,NA,0.040097249752459,NA,NA,NA,NA,NA,0.00453072049067935,NA,NA,NA,NA,-0.0374620240762766,0.0544344966051282,NA,NA,NA,NA,-0.00925123348992647,NA,NA,NA,NA,NA,-0.0350913517021807,NA,NA,NA,NA,NA,-0.0804029786505376,NA,NA,NA,NA,NA,-0.0986345156567237,NA,NA,NA,NA,NA,0.0319909259264474,NA,NA,-0.0104141280404167,NA,NA,NA,NA,NA,0.00955467741231383,NA,NA,NA,NA,NA,-0.0467308066237853,NA,NA,NA,NA,NA,0.0245962300232558,NA,NA,NA,NA,NA,-0.103770523501632,-0.645555516666667,NA,NA,NA,NA,NA,-0.0540704868280795,NA,NA,NA,NA,NA,-0.16374767142429,NA,NA,NA,NA,NA,-0.0486841016869097,NA,NA,NA,NA,NA,-0.0282664643272109,NA,NA,NA,NA,NA,-0.0580727257227723,-0.158295785860169,NA,NA,NA,NA,NA,-0.0538246596117125,NA,NA,NA,NA,NA,-0.0172467180124176,NA,NA,NA,NA,NA,-0.0307078797014124,NA,NA,NA,NA,NA,-0.0540260046473806
"tBodyGyro-arCoeff()-Y,4",NA,NA,0.111887349196744,NA,NA,NA,NA,NA,0.118727178744018,NA,NA,NA,NA,NA,0.104664723382745,NA,NA,NA,NA,NA,0.114734944802677,NA,NA,NA,NA,NA,0.178623473629123,NA,NA,NA,NA,NA,0.165189825315516,NA,NA,NA,NA,0.143079565697134,-0.149262049,NA,NA,NA,NA,0.100464069924149,NA,NA,NA,NA,NA,0.166223642278963,NA,NA,NA,NA,NA,0.0690456409518798,NA,NA,NA,NA,NA,0.032806014630269,NA,NA,NA,NA,0.119057648636844,0.116210919634359,NA,NA,NA,NA,0.111699969039877,NA,NA,NA,NA,NA,0.21675298226648,NA,NA,NA,NA,NA,0.132663933769489,NA,NA,NA,NA,NA,0.194160250078068,NA,NA,NA,NA,NA,0.0324190331013158,NA,NA,0.0700383757570417,NA,NA,NA,NA,NA,0.164772304229574,NA,NA,NA,NA,NA,0.160413635526571,NA,NA,NA,NA,NA,0.200312855494767,NA,NA,NA,NA,NA,0.251737638298421,0.534114116666667,NA,NA,NA,NA,NA,0.111493566127884,NA,NA,NA,NA,NA,0.294519088479495,NA,NA,NA,NA,NA,0.174791080988889,NA,NA,NA,NA,NA,0.184148454772449,NA,NA,NA,NA,NA,0.174207967096832,0.237516394450847,NA,NA,NA,NA,NA,0.0980117331107034,NA,NA,NA,NA,NA,0.107318283496676,NA,NA,NA,NA,NA,0.110376224534463,NA,NA,NA,NA,NA,0.100146688491365
"tBodyGyro-arCoeff()-Z,1",NA,NA,-0.0768873942676945,NA,NA,NA,NA,NA,-0.124553942740762,NA,NA,NA,NA,NA,-0.105810438299073,NA,NA,NA,NA,NA,-0.0437027405999692,NA,NA,NA,NA,NA,-0.152839693793636,NA,NA,NA,NA,NA,-0.0682327347338078,NA,NA,NA,NA,-0.14074483205414,0.2356619045,NA,NA,NA,NA,-0.226835441894427,NA,NA,NA,NA,NA,-0.060524389273753,NA,NA,NA,NA,NA,-0.0813214927406557,NA,NA,NA,NA,NA,-0.0516489302401087,NA,NA,NA,NA,-0.0176174240035461,0.0714974252770513,NA,NA,NA,NA,-0.0174661418949755,NA,NA,NA,NA,NA,0.0193298204557632,NA,NA,NA,NA,NA,0.00542761627217742,NA,NA,NA,NA,NA,-0.214663425409834,NA,NA,NA,NA,NA,0.0609135519664474,NA,NA,-0.0814488977633333,NA,NA,NA,NA,NA,-0.000919687201329788,NA,NA,NA,NA,NA,-0.150660668194503,NA,NA,NA,NA,NA,0.0191780125003779,NA,NA,NA,NA,NA,-0.198696069436316,-0.667349353333333,NA,NA,NA,NA,NA,0.00202448893807947,NA,NA,NA,NA,NA,0.00841797590864353,NA,NA,NA,NA,NA,-0.263385271014931,NA,NA,NA,NA,NA,-0.109856817394558,NA,NA,NA,NA,NA,-0.0856881438777228,-0.107289804855932,NA,NA,NA,NA,NA,-0.0207954502522936,NA,NA,NA,NA,NA,-0.113410943757692,NA,NA,NA,NA,NA,-0.161963240538531,NA,NA,NA,NA,NA,-0.114990821076824
"tBodyGyro-arCoeff()-Z,2",NA,NA,0.072821007667147,NA,NA,NA,NA,NA,0.112639986446921,NA,NA,NA,NA,NA,0.148221829786424,NA,NA,NA,NA,NA,0.103385144702308,NA,NA,NA,NA,NA,0.132931370878247,NA,NA,NA,NA,NA,0.0532999461373665,NA,NA,NA,NA,0.0913975692203822,-0.445858645,NA,NA,NA,NA,0.0935843994099071,NA,NA,NA,NA,NA,0.0239131761035671,NA,NA,NA,NA,NA,0.0678805817251366,NA,NA,NA,NA,NA,0.0539899479975543,NA,NA,NA,NA,0.0219743084891809,-0.121666167320513,NA,NA,NA,NA,0.0298031310359314,NA,NA,NA,NA,NA,-0.0351088716043614,NA,NA,NA,NA,NA,-0.0108471397771505,NA,NA,NA,NA,NA,0.12474965087154,NA,NA,NA,NA,NA,-0.0668116522671118,NA,NA,0.0718610562920833,NA,NA,NA,NA,NA,0.00968762936170213,NA,NA,NA,NA,NA,0.132044980946754,NA,NA,NA,NA,NA,-0.0191811945639535,NA,NA,NA,NA,NA,0.124906683354474,0.64071226,NA,NA,NA,NA,NA,0.0447225222042384,NA,NA,NA,NA,NA,0.039300877067571,NA,NA,NA,NA,NA,0.15242045449375,NA,NA,NA,NA,NA,0.0909323043068027,NA,NA,NA,NA,NA,0.0630112706871287,0.141604489040822,NA,NA,NA,NA,NA,0.0413007189229969,NA,NA,NA,NA,NA,0.0722106870229121,NA,NA,NA,NA,NA,0.0812981817242938,NA,NA,NA,NA,NA,0.0933082513434908
